,Entry_Date,Entry_Price,Exit_Date,Exit_Type,Exit_Price,PnL
0,2017-10-06,38.7425,2017-10-16,TP,39.970001,1.23
1,2018-01-11,43.647499,2018-01-12,TP,44.272499,0.62
2,2018-02-15,42.447498,2018-05-04,TP,45.9575,3.51
3,2018-05-11,47.372501,2018-06-25,SL,45.5425,-1.83
4,2018-09-25,54.9375,2018-09-27,TP,56.237499,1.3
5,2019-01-16,38.27,2019-01-25,TP,39.439999,1.17
6,2019-02-25,43.540001,2019-03-11,TP,44.724998,1.18
7,2019-03-12,45.0,2019-03-21,TP,48.772499,3.77
8,2019-04-03,48.3125,2019-04-08,TP,50.025002,1.71
9,2019-04-09,50.080002,2019-05-01,TP,52.630001,2.55
10,2019-07-23,52.115002,2019-08-05,SL,48.334999,-3.78
11,2019-09-17,54.990002,2019-09-30,TP,55.9925,1.0
12,2019-10-28,61.855,2019-11-01,TP,63.955002,2.1
13,2019-11-04,64.332497,2019-12-16,TP,69.964996,5.63
14,2019-12-24,71.172501,2019-12-30,TP,72.879997,1.71
15,2020-01-14,79.175003,2020-02-24,SL,74.544998,-4.63
16,2020-03-27,63.1875,2020-04-13,TP,68.3125,5.12
17,2020-04-27,70.449997,2020-04-30,TP,73.449997,3.0
18,2020-05-18,78.292503,2020-06-05,TP,82.875,4.58
19,2020-06-08,82.5625,2020-06-09,TP,85.997498,3.43
20,2020-06-23,91.0,2020-07-09,TP,95.752502,4.75
21,2020-08-13,114.43,2020-08-21,TP,124.370003,9.94
22,2020-10-06,115.699997,2020-10-12,TP,124.400002,8.7
23,2020-12-16,127.410004,2020-12-28,TP,136.690002,9.28
24,2021-07-06,140.070007,2021-07-07,TP,144.570007,4.5
25,2021-12-01,167.479996,2021-12-10,TP,179.449997,11.97
26,2021-12-28,180.160004,2022-01-06,SL,172.0,-8.16
27,2022-03-29,176.690002,2022-04-08,SL,170.089996,-6.6
28,2022-05-05,163.850006,2022-05-09,SL,152.059998,-11.79
29,2022-05-24,140.809998,2022-05-27,TP,149.639999,8.83
30,2022-05-31,149.070007,2022-06-10,SL,137.130005,-11.94
31,2022-07-08,145.259995,2022-07-21,TP,155.350006,10.09
32,2022-08-16,172.779999,2022-08-22,SL,167.570007,-5.21
